X,Y,OBJECTID_1,OBJECTID,ID1,IND_CLADIR,JUDET,LOCALITATE,SIRUTA,TIP_CLADIR,UAT,Tip_artera,Nr_postal,Nr_post_ve,Den_Drum,Drum_vechi,verificare,NR_APARTAM,icon_url
25.8757212602459,44.5597098722236,"2726","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6K-4,,Samurcasi,,"0","0",./0.png
25.8754691796708,44.5596370643935,"2727","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6K-6,,Samurcasi,,"0","0",./0.png
25.8752199126205,44.5595773176493,"2728","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6K-8,,Samurcasi,,"0","0",./0.png
25.8749362683825,44.5594916700978,"2729","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6K-10,,Samurcasi,,"0","0",./0.png
25.8746451211371,44.5594285083346,"2730","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6K-12,,Samurcasi,,"0","0",./0.png
25.8743208225975,44.5592478488138,"2731","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6K-14,,Samurcasi,,"0","0",./0.png
25.8741408112956,44.5589277552991,"2732","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6K-16,,Samurcasi,,"0","0",./0.png
25.8756246487669,44.5581685941365,"2733","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6K-18,,Samurcasi,,"0","0",./0.png
25.8759396840442,44.558255865447,"2734","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6K-20,,Samurcasi,,"0","0",./0.png
25.8763488791806,44.5583461428951,"2735","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6K-22,,Samurcasi,,"0","0",./0.png
25.876643033607,44.5584354438298,"2736","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6K-24,,Samurcasi,,"0","0",./0.png
25.8771156108565,44.55779439855,"2737","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-3,,Samurcasi,,"0","0",./0.png
25.8770264267658,44.5579464904386,"2738","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-5,,Samurcasi,,"0","0",./0.png
25.8769557394768,44.558111523708,"2739","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-7,,Samurcasi,,"0","0",./0.png
25.8768771794149,44.5582747479201,"2740","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-9,,Samurcasi,,"0","0",./0.png
25.8773723696838,44.5576596926912,"2741","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-4,,Samurcasi,,"0","0",./0.png
25.8772909709674,44.5578079873714,"2742","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-6,,Samurcasi,,"0","1",./0.png
25.8772173291396,44.5579506136791,"2743","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-8,,Samurcasi,,"0","0",./0.png
25.8771439700428,44.5581119291989,"2744","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-10,,Samurcasi,,"0","0",./0.png
25.8770731407129,44.5582676170185,"2745","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-12,,Samurcasi,,"0","0",./0.png
25.8769869383604,44.5584439851244,"2746","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-14,,Samurcasi,,"0","0",./0.png
25.8768547656542,44.5586917368825,"2747","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-16,,Samurcasi,,"0","0",./0.png
25.8767866331122,44.5588530115306,"2748","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-18,,Samurcasi,,"0","0",./0.png
25.8767028159101,44.5590144080658,"2749","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-20,,Samurcasi,,"0","0",./0.png
25.876597974234,44.5591684915537,"2750","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-22,,Samurcasi,,"0","0",./0.png
25.8765299824861,44.5593391097807,"2751","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-24,,Samurcasi,,"0","0",./0.png
25.8764538349598,44.5594892314629,"2752","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-26,,Samurcasi,,"0","0",./0.png
25.8763648738406,44.5596562756975,"2753","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-28,,Samurcasi,,"0","0",./0.png
25.8763146682689,44.559793111314,"2754","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6G-30,,Samurcasi,,"0","0",./0.png
25.8764096543305,44.5577868024824,"2755","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6L,,Samurcasi,,"0","0",./0.png
25.8761916748892,44.5580651267499,"2756","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6L-1,,Samurcasi,,"0","0",./0.png
25.8764755416592,44.5578218040334,"2757","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6L-2,,Samurcasi,,"0","0",./0.png
25.8763809298091,44.5579608541066,"2758","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6L-4,,Samurcasi,,"0","0",./0.png
25.8763281102617,44.5580977109377,"2759","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6L-6,,Samurcasi,,"0","0",./0.png
25.8770560276747,44.5574864555602,"2760","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6F-10,,Samurcasi,,"0","0",./0.png
25.8766607885436,44.5576259749978,"2761","0","0",,Dambovita,Gulia,"105561",,Tartasesti,Strada,6F-12,,Samurcasi,,"0","0",./0.png
